BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
64,121,0.175438596491228,3037,3094,6.77102883200583,-19.738380566467,2.84283459723709,Routine,0.904494542028595,26119.7388616039,0.0147481553368643,61948742.4206358,22.75,154.1722983,4.442,Blue,bw170814-50
121,171,0.2,3094,3144,15.672687930575,-18.6327744286017,2.62048053913274,Routine,0.875893523080866,33969.91995089,0.02448924274757,57103383.3958523,22.75,154.1722983,4.442,Blue,bw170814-50
403,465,0.161290322580645,3376,3438,34.0761420359723,-32.7496901702605,2.58422277473373,Routine,0.90428630017132,20002.3460657356,0.0150353913649825,56313283.6448203,22.75,154.1722983,4.442,Blue,bw170814-50
1337,1387,0.2,4310,4360,121.194522721868,41.3865318398356,2.75401444063988,Routine,0.881770281450577,35363.6594914662,0.02196252201293,60013245.7131774,22.75,154.1722983,4.442,Blue,bw170814-50
2667,2728,0.163934426229508,5640,5701,98.1739835050995,33.4685038309557,1.55037077960162,Routine,0.831619804741545,14076.3908602375,0.0490013723284795,33784420.7240775,22.75,154.1722983,4.442,Blue,bw170814-50
2857,2946,0.112359550561798,5830,5919,82.3747263455782,37.0990899010322,1.50788179311105,Routine,0.87886091709501,6139.49506149385,0.0232302782254704,32858535.242602,22.75,154.1722983,4.442,Blue,bw170814-50
2946,3012,0.151515151515152,5919,5985,75.0414901242567,31.2755359412877,1.57110998336897,Routine,0.843681942654284,12155.4323314108,0.0406606478630292,34236352.6069388,22.75,154.1722983,4.442,Blue,bw170814-50
3012,3066,0.185185185185185,5985,6039,70.0046374236584,28.3554347761393,1.63935173841593,Routine,0.820292369691524,19141.7260213967,0.0563622482104044,35723421.5028375,22.75,154.1722983,4.442,Blue,bw170814-50
3066,3112,0.217391304347826,6039,6085,65.275306291668,27.1187664013277,1.88306506854762,Routine,0.819117352809332,30117.317755913,0.0585118673795504,41034224.434347,22.75,154.1722983,4.442,Blue,bw170814-50
3112,3158,0.217391304347826,6085,6131,59.6833086781593,28.2482911930315,2.34289637520098,Routine,0.847931561411799,37354.5896501277,0.0376797816634873,51054494.7661133,22.75,154.1722983,4.442,Blue,bw170814-50
4468,4526,0.172413793103448,7441,7499,2.44653360745996,-2.82177667130845,2.0992959437961,Routine,0.866823814378434,20489.9917525774,0.0287305825983522,45746152.0319553,22.75,154.1722983,4.442,Blue,bw170814-50
4924,4989,0.153846153846154,7897,7962,1.63542710701095,3.40706651821052,2.51290255297902,Routine,0.90671831471525,17535.1943320941,0.0143353166235859,54759131.3029432,22.75,154.1722983,4.442,Blue,bw170814-50
5055,5105,0.2,8028,8078,7.1692007711229,-35.8010915943717,2.67210562708234,Routine,0.878728472484492,34427.8367476522,0.0234084425347918,58228355.3794284,22.75,154.1722983,4.442,Blue,bw170814-50
5105,5161,0.178571428571429,8078,8134,15.7538749105862,-36.8636416014354,2.69598873635503,Routine,0.894824564658206,26595.5210716486,0.0176066987048607,58748796.6973916,22.75,154.1722983,4.442,Blue,bw170814-50
6245,6299,0.185185185185185,9218,9272,132.239675253538,-17.6124482069754,1.71935673959658,Routine,0.828005519722487,19996.5597368834,0.0510365075632743,37466825.503661,22.75,154.1722983,4.442,Blue,bw170814-50
6299,6357,0.172413793103448,9272,9330,136.547861034187,-16.2969985587089,2.35127366049519,Routine,0.881495286096441,22375.82522385,0.0223302288384761,51237045.7627065,22.75,154.1722983,4.442,Blue,bw170814-50
6357,6412,0.181818181818182,9330,9385,141.440060104524,-12.178394279386,2.79351774613711,Lunge-Associated,0.897287685560651,28326.5224294955,0.0168563137325668,60874069.6595969,22.75,154.1722983,4.442,Blue,bw170814-50
6412,6466,0.185185185185185,9385,9439,143.68890738748,-3.9441293565112,2.9944271800011,Routine,0.90445571197419,30635.4391690568,0.0148015259544677,65252124.8515565,22.75,154.1722983,4.442,Blue,bw170814-50
6466,6558,0.108695652173913,9439,9531,142.837223864009,10.7943062528128,1.82631128124037,Routine,0.909437611023437,6305.88592657859,0.0134290519463313,39797492.0002091,22.75,154.1722983,4.442,Blue,bw170814-50
6997,7050,0.188679245283019,9970,10023,141.076315485576,-34.3387354985867,1.76216095831718,Routine,0.82830382729676,21309.608853594,0.0505198906967529,38399580.2698427,22.75,154.1722983,4.442,Blue,bw170814-50
7050,7098,0.208333333333333,10023,10071,147.435529270131,-28.9657852739042,2.1423372865105,Routine,0.843303923344217,31265.0971997536,0.0412496143384639,46684074.0116034,22.75,154.1722983,4.442,Blue,bw170814-50
7098,7150,0.192307692307692,10071,10123,153.683572639145,-18.3642255689188,2.40625978352326,Routine,0.870025994648622,29122.1561988886,0.0271156261799086,52435258.6926764,22.75,154.1722983,4.442,Blue,bw170814-50
7150,7192,0.238095238095238,10123,10165,158.668220864092,-9.69814039765104,2.77502274331064,Lunge-Associated,0.860692538139584,52119.0482188797,0.031638835081037,60471041.5807634,22.75,154.1722983,4.442,Blue,bw170814-50
7192,7226,0.294117647058824,10165,10199,161.559405804674,0.149481619408757,3.33048494852015,Routine,0.854955024767926,96629.9084617823,0.0339322604102212,72575222.7766603,22.75,154.1722983,4.442,Blue,bw170814-50
8071,8116,0.222222222222222,11044,11089,173.448193732807,33.9258914211009,3.1574722937347,Routine,0.887010944660308,49277.8001960226,0.0203074931857882,68805071.5349275,22.75,154.1722983,4.442,Blue,bw170814-50
9279,9369,0.111111111111111,12252,12342,121.065605956872,41.4390129705564,1.43762753381513,Routine,0.873339778092759,5797.93012079573,0.025313807902502,31327611.4887875,22.75,154.1722983,4.442,Blue,bw170814-50
9369,9450,0.123456790123457,12342,12423,114.002038394078,42.9437233227944,1.48359145976394,Routine,0.864103071446513,7477.32831046687,0.0297048336665631,32329220.028381,22.75,154.1722983,4.442,Blue,bw170814-50
9450,9519,0.144927536231884,12423,12492,106.792890908838,45.8286846396189,1.50465095714322,Routine,0.84373751500103,10654.5861012931,0.0405744774338618,32788131.4894715,22.75,154.1722983,4.442,Blue,bw170814-50
9519,9585,0.151515151515152,12492,12558,99.1797162434775,47.7830574553826,1.54925217845122,Routine,0.84052798079162,12054.5812134685,0.0420542052267544,33760045.0764034,22.75,154.1722983,4.442,Blue,bw170814-50
9585,9645,0.166666666666667,12558,12618,90.8595218108798,48.0362492308469,1.65432710868178,Routine,0.836485569482295,15590.9065244673,0.0446715331166318,36049752.6077688,22.75,154.1722983,4.442,Blue,bw170814-50
9857,9940,0.120481927710843,12830,12913,46.7570258006467,42.3428294118364,1.84865603441825,Routine,0.897259047500855,8228.085516126,0.0168948409458244,40284410.7117003,22.75,154.1722983,4.442,Blue,bw170814-50
11695,11756,0.163934426229508,14668,14729,9.0235594373644,-40.6972847845913,2.60460145366001,Routine,0.902080517684147,21081.8973595674,0.0154778098812378,56757359.263185,22.75,154.1722983,4.442,Blue,bw170814-50
11756,11808,0.192307692307692,14729,14781,19.2322916680842,-48.1415323103201,2.60146127908373,Routine,0.879096840109614,31098.7203076998,0.0229146943717035,56688931.1294586,22.75,154.1722983,4.442,Blue,bw170814-50
12616,12686,0.142857142857143,15589,15659,146.75425780955,38.070865466606,2.00899874405677,Routine,0.884589715472026,13080.9119032067,0.0209277565268107,43778468.8000877,22.75,154.1722983,4.442,Blue,bw170814-50
12686,12732,0.217391304347826,15659,15705,135.128288154916,65.8308051058885,3.23661393638326,Routine,0.892362039197965,47746.0264130516,0.0182678814078877,70529661.927892,22.75,154.1722983,4.442,Blue,bw170814-50
13605,13671,0.151515151515152,16578,16644,130.658038281884,-33.9431238545,1.54801342553667,Routine,0.840491259389839,12042.2902603287,0.0421122621726653,33733051.1790798,22.75,154.1722983,4.442,Blue,bw170814-50
