BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
422,474,0.192307692307692,3423,3475,66.0936152491903,-33.4441633148919,2.28515809551191,Routine,0.867415287660999,21225.9359758737,0.0238833617781993,48110895.5357777,21.98,148.954159,3.623,Blue,bw170815-43
474,523,0.204081632653061,3475,3524,72.4420533506565,-27.8342703111716,2.41077927616408,Routine,0.86720810508315,25176.7359770806,0.0241270619316676,50755678.630351,21.98,148.954159,3.623,Blue,bw170815-43
950,1010,0.166666666666667,3951,4011,113.380928289214,-15.1869388069251,2.47688909927367,Lunge-Associated,0.897455733916171,16104.5385896334,0.0142300348188613,52147531.0364323,21.98,148.954159,3.623,Blue,bw170815-43
1010,1052,0.238095238095238,4011,4053,115.295709238799,-3.83173801270002,3.26369633963698,Routine,0.887147308485278,44584.5514490712,0.0172199755456332,68712687.3038513,21.98,148.954159,3.623,Blue,bw170815-43
1693,1750,0.175438596491228,4694,4751,116.080897053098,-34.9318103501198,1.80909959194057,Routine,0.847801315257516,14290.2797994005,0.0324063909544762,38088131.2556071,21.98,148.954159,3.623,Blue,bw170815-43
1750,1796,0.217391304347826,4751,4797,121.227936435014,-24.8887719442353,2.10395386049281,Routine,0.839890860513543,25560.6369034979,0.0368502465847199,44295886.8329809,21.98,148.954159,3.623,Blue,bw170815-43
1796,1841,0.222222222222222,4797,4842,123.885797163089,-8.68087889012387,2.61939898925474,Lunge-Associated,0.86713200726066,32415.0321358726,0.0242169169032815,55147882.9346928,21.98,148.954159,3.623,Blue,bw170815-43
1841,1880,0.256410256410256,4842,4881,123.916985816215,5.50710834525027,3.41178624114227,Routine,0.881964041188925,54931.3613566125,0.018571726685951,71830518.7550833,21.98,148.954159,3.623,Blue,bw170815-43
2439,2488,0.204081632653061,5440,5489,65.561757778275,32.228476614179,1.44120113852565,Routine,0.79597742495109,15347.4901990862,0.0688400119367946,30342529.7172354,21.98,148.954159,3.623,Blue,bw170815-43
2504,2552,0.208333333333333,5505,5553,60.3986355549912,27.9009971842054,1.46542396459567,Routine,0.795720746742718,16243.1608371897,0.0693039580016658,30852508.373384,21.98,148.954159,3.623,Blue,bw170815-43
2565,2614,0.204081632653061,5566,5615,55.8352862654255,28.5087915466235,1.5119565235823,Routine,0.801734579425389,16208.6700015095,0.0629661055020241,31832188.1114357,21.98,148.954159,3.623,Blue,bw170815-43
3849,3911,0.161290322580645,6850,6912,5.75441583970414,-29.7389394067215,2.26796008196546,Routine,0.889876699257568,14140.1230131944,0.0162751249135183,47748814.7524913,21.98,148.954159,3.623,Blue,bw170815-43
4584,4630,0.217391304347826,7585,7631,104.712900496888,-37.6813780117532,1.97837833484227,Routine,0.829068493176449,24281.7662732004,0.0421046046686012,41652064.9423688,21.98,148.954159,3.623,Blue,bw170815-43
4630,4674,0.227272727272727,7631,7675,109.304841206804,-18.1841850133827,2.37900027244349,Routine,0.851077959637501,31361.3529189295,0.0312743776610355,50086614.9313294,21.98,148.954159,3.623,Blue,bw170815-43
4674,4717,0.232558139534884,7675,7718,110.02455620767,6.8459570574956,2.84215743902351,Lunge-Associated,0.87061739644931,38489.3358915912,0.0225098906155282,59837759.1089432,21.98,148.954159,3.623,Blue,bw170815-43
4717,4753,0.277777777777778,7718,7754,106.115848163199,21.9136033076242,3.28107459711425,Routine,0.867205278299508,63479.7793363342,0.0241303964378956,69078562.8779417,21.98,148.954159,3.623,Blue,bw170815-43
5550,5602,0.192307692307692,8551,8603,91.4415970447358,-33.5229900189857,1.47384513757114,Routine,0.806485206810688,14061.5532051943,0.058973254766864,31029804.7162966,21.98,148.954159,3.623,Blue,bw170815-43
5825,5864,0.256410256410256,8826,8865,107.728466091063,-0.0783904215143419,3.10078020952345,Routine,0.870264091271276,50895.0338057331,0.0229213302462912,65282709.7752159,21.98,148.954159,3.623,Blue,bw170815-43
6245,6302,0.175438596491228,9246,9303,62.7976525697318,50.064764768592,1.33869898857256,Routine,0.806224605922045,10616.3352794476,0.0594159686545411,28184486.3686062,21.98,148.954159,3.623,Blue,bw170815-43
6302,6371,0.144927536231884,9303,9372,55.8391207994844,46.5127518008771,1.35881383038755,Routine,0.835729340545423,7340.17140027637,0.03928291319715,28607977.0037532,21.98,148.954159,3.623,Blue,bw170815-43
6371,6437,0.151515151515152,9372,9438,48.6172066326563,41.6649733211302,1.40879633595852,Routine,0.832805422905821,8374.12839873525,0.0402135429034917,29660290.6746823,21.98,148.954159,3.623,Blue,bw170815-43
6437,6499,0.161290322580645,9438,9500,42.1376977446358,35.9199675648802,1.45651996757714,Routine,0.828681651852801,9819.62095305361,0.0426700112544179,30665046.8269592,21.98,148.954159,3.623,Blue,bw170815-43
7631,7666,0.285714285714286,10632,10667,5.82188938358352,-0.440877112221632,2.45852173477127,Routine,0.823587451508647,51766.1206282438,0.046773603055968,51760831.1592648,21.98,148.954159,3.623,Blue,bw170815-43
7666,7730,0.15625,10667,10731,6.84650776932843,-18.6531631657164,2.46108624256459,Routine,0.906802242737473,13505.8940773133,0.0121652266043153,51814823.3827295,21.98,148.954159,3.623,Blue,bw170815-43
7730,7778,0.208333333333333,10731,10779,14.6445291344255,-46.7140700859214,2.46478135405135,Routine,0.867261983942622,26835.989839809,0.0240635546238925,51892618.9291655,21.98,148.954159,3.623,Blue,bw170815-43
7778,7843,0.153846153846154,10779,10844,25.7374262605086,-57.146102332613,2.26633916143715,Routine,0.897267880110983,12523.6607700328,0.0144455455259951,47714688.4754679,21.98,148.954159,3.623,Blue,bw170815-43
7843,7909,0.151515151515152,10844,10910,38.3963542432113,-64.7199069414934,2.05469202568035,Routine,0.884719417290226,11473.4734530282,0.0177595546409697,43258745.9046495,21.98,148.954159,3.623,Blue,bw170815-43
8353,8399,0.217391304347826,11354,11400,122.817627361398,-69.0185782982321,1.87401921769058,Routine,0.823682880170369,22855.1624725936,0.0466272233793894,39454925.675133,21.98,148.954159,3.623,Blue,bw170815-43
