BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
584,635,0.196078431372549,2074,2125,3.41736696274311,24.0020920437249,1.16657047603029,Routine,0.855812012830863,1302.36216699944,0.0295568887451931,11179983.7332885,10.00531323,55.50985688,2.408,Humpback,mn180227-43
2007,2083,0.131578947368421,3497,3573,3.81613543833999,9.48212336782624,1.12217169852311,Routine,0.922400605629064,435.579490946083,0.0111057879420461,10754482.1279357,10.00531323,55.50985688,2.408,Humpback,mn180227-43
5740,5782,0.238095238095238,7230,7272,6.98193924998152,-59.0479776901936,1.58456117863159,Routine,0.876542107202121,2501.36978602608,0.0226522190647588,15185853.375773,10.00531323,55.50985688,2.408,Humpback,mn180227-43
5782,5829,0.212765957446809,7272,7319,13.0508434372657,-54.8792633023815,1.44467458326124,Routine,0.879866634326853,1807.03028800463,0.0215931113134592,13845231.5334755,10.00531323,55.50985688,2.408,Humpback,mn180227-43
5904,5978,0.135135135135135,7394,7468,21.9807209461716,-16.2019903411746,1.16380299767074,Routine,0.924887803401042,467.130517639272,0.0106772574425743,11153461.2353532,10.00531323,55.50985688,2.408,Humpback,mn180227-43
5978,6028,0.2,7468,7518,24.0524940966444,-21.2313936775798,1.42694746214772,Routine,0.889190792482458,1534.10511108084,0.0190235276820809,13675341.3041585,10.00531323,55.50985688,2.408,Humpback,mn180227-43
6351,6404,0.188679245283019,7841,7894,40.4994604685519,-17.2865767840821,1.52833366661187,Routine,0.911799964127817,1309.6782702199,0.0132181285132381,14646989.5157147,10.00531323,55.50985688,2.408,Humpback,mn180227-43
6404,6437,0.303030303030303,7894,7927,43.0512470992766,-16.9189965261115,1.67167530750612,Routine,0.843915670199885,4514.25933399499,0.0348169408970752,16020723.2475626,10.00531323,55.50985688,2.408,Humpback,mn180227-43
6437,6491,0.185185185185185,7927,7981,44.660114956181,11.9448670891404,1.63721263173359,Routine,0.930142289261684,1185.50476308257,0.00973302706561446,15690445.5982828,10.00531323,55.50985688,2.408,Humpback,mn180227-43
7039,7092,0.188679245283019,8529,8582,22.3168303161176,19.9915004029628,1.25719272402734,Routine,0.876589563976398,1246.62343356037,0.022604223760329,12048474.1325387,10.00531323,55.50985688,2.408,Humpback,mn180227-43
7092,7158,0.151515151515152,8582,8648,19.4952460331351,11.976605918188,1.37504810741923,Routine,0.935367004822092,638.182360097913,0.00884404626623461,13177956.9167128,10.00531323,55.50985688,2.408,Humpback,mn180227-43
7158,7200,0.238095238095238,8648,8690,18.3619408533809,-13.5201562182605,1.82361652261708,Routine,0.90317019000687,2600.11445616395,0.0154472721751283,17476872.1457732,10.00531323,55.50985688,2.408,Humpback,mn180227-43
7420,7506,0.116279069767442,8910,8996,31.1648508510232,-16.1737570522493,1.56616575024302,Routine,0.951741113599807,423.788055898782,0.0039746183508192,15009558.3345587,10.00531323,55.50985688,2.408,Humpback,mn180227-43
7995,8048,0.188679245283019,9485,9538,33.8924266764206,36.7760075543431,1.50765184049247,Routine,0.909167630133989,1312.94526761644,0.0138039482844437,14448782.4769283,10.00531323,55.50985688,2.408,Humpback,mn180227-43
9250,9293,0.232558139534884,10740,10783,1.7189042449615,5.15788904928101,1.4799486088755,Routine,0.869453994298321,2258.66015907548,0.0251056156027914,14183284.8621668,10.00531323,55.50985688,2.408,Humpback,mn180227-43
9848,9893,0.222222222222222,11338,11383,9.80491658023105,-39.456987205374,1.76819847273298,Routine,0.909048329853337,2134.05083325393,0.0139082220216756,16945765.8740432,10.00531323,55.50985688,2.408,Humpback,mn180227-43
11300,11394,0.106382978723404,12790,12884,17.4693588898762,38.2438503677895,1.39910701011228,Routine,0.951378793848434,314.723419535557,0.00414034138456643,13408528.6192166,10.00531323,55.50985688,2.408,Humpback,mn180227-43
11549,11597,0.208333333333333,13039,13087,6.81580105786331,-44.3731180955753,1.74489162911268,Routine,0.919665638646449,1728.35045410153,0.011721584389465,16722401.6299591,10.00531323,55.50985688,2.408,Humpback,mn180227-43
12214,12277,0.158730158730159,13704,13767,27.5559166360129,-4.03614787366949,1.17250181402585,Routine,0.895184126208796,776.477422429274,0.0173559404143543,11236827.5019845,10.00531323,55.50985688,2.408,Humpback,mn180227-43
12277,12354,0.12987012987013,13767,13844,28.5837600178104,0.795262216296796,1.27241011883851,Routine,0.946118021555328,396.027560260957,0.00692634238377558,12194312.0651349,10.00531323,55.50985688,2.408,Humpback,mn180227-43
12621,12680,0.169491525423729,14111,14170,28.1441745517673,-3.82804174041203,1.37113342455064,Routine,0.91176416703962,947.876337934149,0.0132486740759909,13140440.0313714,10.00531323,55.50985688,2.408,Humpback,mn180227-43
13619,13693,0.135135135135135,15109,15183,1.99018760705513,-8.25095333322499,1.31454135020379,Routine,0.945969720379439,442.287353913706,0.00701522580505211,12598082.3396322,10.00531323,55.50985688,2.408,Humpback,mn180227-43
