BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
425,446,0.476190476190476,14130,14151,22.1096203846252,-10.7694018147281,2.55971488134492,Lunge-Associated,0.857093843392841,11546.1371564841,0.0282013460379202,21576140.7622944,8.8,48.82273342,2.221,Humpback,mn170809-41
446,470,0.416666666666667,14151,14175,22.4904383597409,-4.23537011754446,2.75908197270095,Lunge-Associated,0.896886339572358,8516.78639274113,0.0166107732311402,23256629.6549505,8.8,48.82273342,2.221,Humpback,mn170809-41
681,721,0.25,14386,14426,26.8570820858291,5.37902492922242,1.92792101208357,Routine,0.92486577413036,1812.16492278384,0.0103594790137197,16250675.1976393,8.8,48.82273342,2.221,Humpback,mn170809-41
721,749,0.357142857142857,14426,14454,25.2153352324156,6.43383655579922,1.95564599940589,Routine,0.860856780398407,4929.66917602803,0.0269994519575989,16484372.4087853,8.8,48.82273342,2.221,Humpback,mn170809-41
805,827,0.454545454545455,14510,14532,19.1679443926018,18.0335769934447,2.95738728145093,Routine,0.893888363873344,11008.616836569,0.0174347634276339,24928168.6559082,8.8,48.82273342,2.221,Humpback,mn170809-41
1037,1062,0.4,14742,14767,3.9536527102041,-7.68183387512272,4.24634649892596,Routine,0.948044568334238,9150.85558670458,0.00489579606179598,35792958.9947782,8.8,48.82273342,2.221,Humpback,mn170809-41
1062,1097,0.285714285714286,14767,14802,4.72580699641645,0.26145371626454,4.00905251169393,Routine,0.952598157505332,4755.32487471452,0.00302317204663966,33792779.7920561,8.8,48.82273342,2.221,Humpback,mn170809-41
1097,1129,0.3125,14802,14834,3.47683663830045,1.8881688806378,3.7920737409377,Routine,0.95038527294503,5161.32480274107,0.00387738363647707,31963839.961927,8.8,48.82273342,2.221,Humpback,mn170809-41
1148,1212,0.15625,14853,14917,0.92281342934239,2.17761214206273,3.09481425016491,Routine,0.95672908186923,1236.29270136399,0.0017085411642627,26086556.8979417,8.8,48.82273342,2.221,Humpback,mn170809-41
1225,1247,0.454545454545455,14930,14952,3.9186596705944,-18.144849511114,3.273575409711,Routine,0.911183228626261,11153.7493655717,0.0130245203104166,27593355.9439241,8.8,48.82273342,2.221,Humpback,mn170809-41
1247,1264,0.588235294117647,14952,14969,5.77800026029934,-11.6486502404666,3.63454435934607,Routine,0.882035221310605,23775.9801977787,0.0202859996809324,30636006.0941048,8.8,48.82273342,2.221,Humpback,mn170809-41
1264,1283,0.526315789473684,14969,14988,7.23022639733429,-9.87901613965206,3.92773125206331,Routine,0.91927799881849,16990.3963083239,0.0114864578000701,33107313.2357827,8.8,48.82273342,2.221,Humpback,mn170809-41
1387,1411,0.416666666666667,15092,15116,17.8033427514579,-1.54257753413323,3.33205916596523,Routine,0.932725617268925,8159.56717381077,0.00903518218690539,28086322.4717375,8.8,48.82273342,2.221,Humpback,mn170809-41
1411,1430,0.526315789473684,15116,15135,17.7229801724627,7.56245325379395,3.61571322032728,Routine,0.902690927294829,17315.9528531133,0.0150062565982258,30477276.1866668,8.8,48.82273342,2.221,Humpback,mn170809-41
1430,1447,0.588235294117647,15135,15152,16.566451409251,10.1822344162975,3.95364874084224,Routine,0.899584335912605,23971.0918351491,0.0158891796225935,33325774.8270227,8.8,48.82273342,2.221,Humpback,mn170809-41
1447,1465,0.555555555555556,15152,15170,14.8024720812968,10.5233282443861,4.16764024592658,Routine,0.919427050920525,20108.0402900937,0.0113790755843375,35129534.6399941,8.8,48.82273342,2.221,Humpback,mn170809-41
1514,1535,0.476190476190476,15219,15240,6.95843894347258,1.85373050373424,4.29776896431816,Routine,0.944749546311376,12655.7906034937,0.00653082414528291,36226405.0632182,8.8,48.82273342,2.221,Humpback,mn170809-41
1535,1554,0.526315789473684,15240,15259,6.02112981270391,1.9141254604675,4.23424979167998,Routine,0.932879220906209,16563.8606218643,0.00893799378121462,35690994.4126282,8.8,48.82273342,2.221,Humpback,mn170809-41
1554,1571,0.588235294117647,15259,15276,5.45662008313105,2.950415694009,4.15420206142445,Routine,0.908293840472471,24075.5582475094,0.0137569266136817,35016262.5867195,8.8,48.82273342,2.221,Humpback,mn170809-41
1571,1598,0.37037037037037,15276,15303,5.05005387269194,-1.97110784749467,4.04478477831769,Routine,0.948566897261413,7524.93245253636,0.00465826571088054,34093971.3114901,8.8,48.82273342,2.221,Humpback,mn170809-41
1598,1620,0.454545454545455,15303,15325,5.08736263376791,-2.63919979966724,3.90967857354543,Routine,0.94366541304933,10387.87119988,0.00712051324704661,32955145.0643676,8.8,48.82273342,2.221,Humpback,mn170809-41
1620,1640,0.5,15325,15345,5.09877956353641,-1.27421247491293,3.7936702601651,Routine,0.922007638287902,14541.2009858706,0.0109101178655842,31977297.2121196,8.8,48.82273342,2.221,Humpback,mn170809-41
1640,1667,0.37037037037037,15345,15372,5.06641474498908,-1.14290193794874,3.70100171844593,Routine,0.946878531601607,6741.23526614935,0.00544740329368382,31196183.0673603,8.8,48.82273342,2.221,Humpback,mn170809-41
1778,1836,0.172413793103448,15483,15541,0.775063804054524,5.65775457815079,2.81027681732885,Routine,0.954568737892815,1273.65182234005,0.00235077641117008,23688157.0809329,8.8,48.82273342,2.221,Humpback,mn170809-41
1873,1891,0.555555555555556,15578,15596,3.38651771655459,-8.59710121523702,3.60877274474233,Routine,0.891457328235599,20397.1289433172,0.0177786321528181,30418774.0936135,8.8,48.82273342,2.221,Humpback,mn170809-41
1891,1911,0.5,15596,15616,4.47841699580614,-6.9533351913469,3.7749845369532,Routine,0.919608882475782,14772.0544263556,0.0112487243176377,31819793.0317894,8.8,48.82273342,2.221,Humpback,mn170809-41
1911,1926,0.666666666666667,15616,15631,5.31657559087864,-3.05595357128456,3.85833002620534,Routine,0.871430251166011,33156.1189892471,0.0236468598065012,32522322.0599683,8.8,48.82273342,2.221,Humpback,mn170809-41
1926,1948,0.454545454545455,15631,15653,5.89944343088838,-4.16724124072627,3.89980511185355,Routine,0.943606988646642,10356.4356927632,0.0071530210877338,32871920.4830568,8.8,48.82273342,2.221,Humpback,mn170809-41
1948,1966,0.555555555555556,15653,15671,6.37740029977004,-2.23833209385388,3.88087087017077,Routine,0.905676436498424,20397.7628723113,0.0142956157525541,32712321.511018,8.8,48.82273342,2.221,Humpback,mn170809-41
2011,2036,0.4,15716,15741,7.89223212258796,-1.30869405513308,3.63978752416856,Routine,0.944928758938147,7575.71959774195,0.00643581720828992,30680201.3531449,8.8,48.82273342,2.221,Humpback,mn170809-41
2036,2071,0.285714285714286,15741,15776,8.08173026640091,-0.287760207675025,3.47931328591449,Routine,0.950443002697517,3962.3924801206,0.00385376110886833,29327544.9387428,8.8,48.82273342,2.221,Humpback,mn170809-41
2297,2321,0.416666666666667,16002,16026,2.65607300573709,-3.89547793941477,3.3402454522493,Routine,0.932788540592387,8183.57829791709,0.00899530727195703,28155325.6511436,8.8,48.82273342,2.221,Humpback,mn170809-41
2321,2343,0.454545454545455,16026,16048,3.05457913170743,-1.85363364490998,3.28418991866053,Routine,0.911281806479833,11197.3097942749,0.0129490172162476,27682826.9005868,8.8,48.82273342,2.221,Humpback,mn170809-41
2343,2371,0.357142857142857,16048,16076,3.05243325271075,1.05493444281016,3.22110419623206,Routine,0.944734372555253,5334.71401300008,0.00653890046893761,27151069.8532971,8.8,48.82273342,2.221,Humpback,mn170809-41
2371,2414,0.232558139534884,16076,16119,2.58035846746204,0.43608671992194,3.04617992272569,Routine,0.95158966003859,2345.65399051481,0.00339942293717451,25676612.3754656,8.8,48.82273342,2.221,Humpback,mn170809-41
2414,2452,0.263157894736842,16119,16157,1.83431937476804,-1.36993259682251,2.88994259296225,Routine,0.948667641516682,2718.03850270377,0.00461313179326606,24359669.3659653,8.8,48.82273342,2.221,Humpback,mn170809-41
2570,2598,0.357142857142857,16275,16303,2.70660359045838,-2.10331031888903,3.62296120122663,Routine,0.947175350901518,6157.46728291045,0.00530418873355912,30538370.2785387,8.8,48.82273342,2.221,Humpback,mn170809-41
2906,2938,0.3125,16611,16643,3.32714542570939,2.50534291867597,3.63479338378829,Routine,0.949677234009582,4891.8687045823,0.00417295316939874,30638105.1507059,8.8,48.82273342,2.221,Humpback,mn170809-41
2990,3033,0.232558139534884,16695,16738,1.96989706865388,0.282776716713827,3.09512757829744,Routine,0.951829468621928,2394.36491874528,0.00330797776076468,26089197.9779861,8.8,48.82273342,2.221,Humpback,mn170809-41
3141,3165,0.416666666666667,16846,16870,8.83493419214685,-46.1026353932833,2.62726456121415,Routine,0.88808429878948,8437.2330711844,0.0190588428161937,22145525.0370542,8.8,48.82273342,2.221,Humpback,mn170809-41
3165,3188,0.434782608695652,16870,16893,13.8829850336653,-47.4305242528214,2.58669064391486,Routine,0.875264270141766,9398.39993082042,0.0222447920474471,21803522.6690141,8.8,48.82273342,2.221,Humpback,mn170809-41
3188,3216,0.357142857142857,16893,16921,19.2473954465966,-42.0947899190066,2.52527840859316,Routine,0.908331979287657,5396.2010418095,0.0137267659964136,21285871.643314,8.8,48.82273342,2.221,Humpback,mn170809-41
3216,3251,0.285714285714286,16921,16956,24.9932177582631,-28.6552789272569,2.47516347061602,Routine,0.943829977489928,2602.06941153992,0.00702934925461547,20863446.8787557,8.8,48.82273342,2.221,Humpback,mn170809-41
3251,3291,0.25,16956,16996,28.6365094737177,-3.23830158005492,2.37979485618699,Routine,0.945890473862565,1953.64901555999,0.00593794107575045,20059573.5004267,8.8,48.82273342,2.221,Humpback,mn170809-41
3291,3328,0.27027027027027,16996,17033,28.8459990234377,8.0945825576065,2.36842968249538,Routine,0.944091735990102,2233.12466685574,0.0068855619206249,19963775.1014936,8.8,48.82273342,2.221,Humpback,mn170809-41
3328,3359,0.32258064516129,17033,17064,28.1559502821151,9.48378610015794,2.29017004242065,Routine,0.908458259340931,3995.75997521569,0.0136271209117326,19304115.3000975,8.8,48.82273342,2.221,Humpback,mn170809-41
3359,3387,0.357142857142857,17064,17092,27.1331404669937,13.0697287443879,2.36365783782753,Routine,0.896867923768555,5359.86390649113,0.016626768208911,19923552.6560175,8.8,48.82273342,2.221,Humpback,mn170809-41
3387,3410,0.434782608695652,17092,17115,25.7244888202957,16.6995846565126,2.82366596608743,Routine,0.891449874626049,9774.4648658473,0.0177852894383327,23801015.8061009,8.8,48.82273342,2.221,Humpback,mn170809-41
3410,3429,0.526315789473684,17115,17134,23.8704562840069,16.2710313190448,3.32043839903814,Routine,0.888104124558145,17015.9562244158,0.0190404839260848,27988369.6470648,8.8,48.82273342,2.221,Humpback,mn170809-41
3429,3447,0.555555555555556,17134,17152,21.9624056244281,14.6006615351449,3.60616459250806,Routine,0.891431570481862,20379.2788477892,0.0178016427941105,30396789.6686503,8.8,48.82273342,2.221,Humpback,mn170809-41
3447,3468,0.476190476190476,17152,17173,19.9513808120311,14.3050627832397,3.68212242208539,Routine,0.924938754468831,12563.8169828598,0.0103094343054175,31037047.2359688,8.8,48.82273342,2.221,Humpback,mn170809-41
3468,3491,0.434782608695652,17173,17196,17.7382562021722,10.8759777748568,3.65824561297506,Routine,0.943151634552335,8854.55759467703,0.00740894193245907,30835786.776035,8.8,48.82273342,2.221,Humpback,mn170809-41
3491,3512,0.476190476190476,17196,17217,15.7892739610903,10.7891623479363,3.66714533444684,Routine,0.924828102711653,12502.5296146474,0.0103853570212517,30910803.5853757,8.8,48.82273342,2.221,Humpback,mn170809-41
3574,3603,0.344827586206897,17279,17308,9.290354434494,7.88304654682271,3.37698095056692,Routine,0.946473980902472,5307.55261016622,0.00564568158676956,28464973.5296829,8.8,48.82273342,2.221,Humpback,mn170809-41
3603,3629,0.384615384615385,17308,17334,7.70263370660318,5.92736832012978,3.2798906001028,Routine,0.943466308712522,6228.80499098938,0.00723160281361898,27646587.4338167,8.8,48.82273342,2.221,Humpback,mn170809-41
3629,3666,0.27027027027027,17334,17371,6.20125370511703,4.92270083846805,3.20958048513689,Routine,0.950028131207681,3248.74592845672,0.0040251200811691,27053935.1237592,8.8,48.82273342,2.221,Humpback,mn170809-41
3709,3769,0.166666666666667,17414,17474,1.14960712316801,5.92518180137559,2.75558639164186,Routine,0.954741285725975,1172.67098276252,0.00229584196553604,23227164.9870195,8.8,48.82273342,2.221,Humpback,mn170809-41
3785,3807,0.454545454545455,17490,17512,3.83661420562041,-19.4128531329292,3.24316104836642,Routine,0.908612465050913,11246.5945051145,0.0135058958450005,27336989.6797169,8.8,48.82273342,2.221,Humpback,mn170809-41
3807,3830,0.434782608695652,17512,17535,6.4838540893723,-19.6134160212601,3.39982961896948,Routine,0.927494613515031,9474.28411477283,0.00987604022455955,28657567.6694746,8.8,48.82273342,2.221,Humpback,mn170809-41
3830,3857,0.37037037037037,17535,17562,9.00733210151594,-12.7088111509784,3.29798436867805,Routine,0.944451315694108,5858.61796263194,0.00669048043951241,27799101.9582057,8.8,48.82273342,2.221,Humpback,mn170809-41
3857,3884,0.37037037037037,17562,17589,10.3280526896293,2.31282136460269,3.275798513353,Routine,0.944300355033682,5811.16144749771,0.00677203668530493,27612094.7485693,8.8,48.82273342,2.221,Humpback,mn170809-41
3884,3906,0.454545454545455,17589,17611,9.97584259252846,7.24093347435395,3.39524294209797,Routine,0.919304231256023,10956.5628647709,0.0114675244519065,28618906.0253469,8.8,48.82273342,2.221,Humpback,mn170809-41
3906,3925,0.526315789473684,17611,17630,9.13293280650564,6.56340563334928,3.53297278141628,Routine,0.897350329228224,17450.1337958901,0.016210103645462,29779847.1996774,8.8,48.82273342,2.221,Humpback,mn170809-41
3925,3945,0.5,17630,17650,8.33964609011464,4.69908246462162,3.65779224348965,Routine,0.91399434718009,14827.7665070504,0.0124115648238721,30831965.270794,8.8,48.82273342,2.221,Humpback,mn170809-41
