BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
33,58,0.4,757,782,5.03234468808867,-9.11527402073757,3.49297753876758,Routine,0.914612154722935,19151.4632332284,0.0151943283999185,35671300.6600253,10.66163108,59.1511332,3.066,Humpback,mn180227-46
58,90,0.3125,782,814,7.817396049085,-8.7331803382185,3.30797944849709,Routine,0.946566096545753,8661.15138234667,0.00809010480299987,33782046.4560324,10.66163108,59.1511332,3.066,Humpback,mn180227-46
526,571,0.222222222222222,1250,1295,8.11129704832847,-43.324448583722,1.87531360030381,Routine,0.909145179917656,3274.70792773063,0.0167887278040777,19151246.9020554,10.66163108,59.1511332,3.066,Humpback,mn180227-46
571,613,0.238095238095238,1295,1337,13.878936806321,-36.1681117291316,1.86956118298372,Routine,0.895365122048441,4032.58821976964,0.0208656422279844,19092501.5464184,10.66163108,59.1511332,3.066,Humpback,mn180227-46
613,663,0.2,1337,1387,20.1650761750947,-26.6857197276171,1.65926201236367,Routine,0.906252572394394,2382.63006571563,0.0176351286787529,16944865.3648274,10.66163108,59.1511332,3.066,Humpback,mn180227-46
663,721,0.172413793103448,1387,1445,25.2697132633396,-10.8905346618597,1.58440705992786,Routine,0.925124461666617,1499.77907507644,0.0127495222108079,16180424.8596726,10.66163108,59.1511332,3.066,Humpback,mn180227-46
830,874,0.227272727272727,1554,1598,29.826977291045,2.73625946097954,1.76717969939534,Routine,0.895053857537666,3465.64424781287,0.0212328731255683,18046952.1140023,10.66163108,59.1511332,3.066,Humpback,mn180227-46
874,915,0.24390243902439,1598,1639,29.9532654858669,10.8226190214799,1.89647747775664,Routine,0.895053721964281,4283.39564600025,0.0212330336997126,19367378.5626151,10.66163108,59.1511332,3.066,Humpback,mn180227-46
1630,1675,0.222222222222222,2354,2399,8.16085983177314,-36.2242439071083,1.85341711039028,Routine,0.906406069643027,3289.51048859694,0.0174694285144106,18927633.5903647,10.66163108,59.1511332,3.066,Humpback,mn180227-46
1675,1745,0.142857142857143,2399,2469,16.9191971854495,-32.6666176515017,1.47830483381096,Routine,0.946103252326211,804.786175862207,0.00842277973056167,15096878.1243995,10.66163108,59.1511332,3.066,Humpback,mn180227-46
