BeatStart,BeatEnd,OsFreq,BeatStartFBD,BeatEndFBD,AvgDepth,AvgPitch,AvgSpeeds,MaxOrNormal,Eff,Thrust,DragCoeff,Reynolds,TotLength,WettedSurfArea,FlukeArea,Species,DeployID
13,34,0.476190476190476,2647,2668,3.74334261670275,7.29994552684544,3.51827035899264,Routine,0.830695740628715,109086.850854917,0.0612601237941632,49673663.8807965,14.74,81.77807848,5.017,Humpback,mn170908-44
34,58,0.416666666666667,2668,2692,4.25771322307404,3.79387596143988,3.68084621730103,Routine,0.861453520389402,84267.5373191968,0.0413247634045667,51969035.6733882,14.74,81.77807848,5.017,Humpback,mn170908-44
58,85,0.37037037037037,2692,2719,4.41841318343201,0.920977828540457,3.7417298761408,Routine,0.884781219116544,64279.9779695052,0.0300089996371158,52828638.2895742,14.74,81.77807848,5.017,Humpback,mn170908-44
85,116,0.32258064516129,2719,2750,4.85068530146044,-0.604279303481567,3.68529622074572,Routine,0.907493294932767,43473.5082242311,0.021242252984174,52031864.2660842,14.74,81.77807848,5.017,Humpback,mn170908-44
116,150,0.294117647058824,2750,2784,5.27501197690123,-0.251624016733315,3.64840973288305,Routine,0.921206449420084,33010.2624485886,0.0166238363216799,51511072.2822761,14.74,81.77807848,5.017,Humpback,mn170908-44
247,283,0.277777777777778,2881,2917,3.73947286068561,3.8488920203575,3.04826739585409,Routine,0.899464071576222,27877.5839423675,0.0240707179090205,43037798.2901238,14.74,81.77807848,5.017,Humpback,mn170908-44
381,412,0.32258064516129,3015,3046,8.2692230180411,-42.040890170163,2.74307732873532,Routine,0.854310655520805,38101.9036052179,0.0451466588850346,38728888.7217995,14.74,81.77807848,5.017,Humpback,mn170908-44
481,523,0.238095238095238,3115,3157,32.7411160036353,-59.7310447520702,2.19298285485534,Routine,0.868598722449807,16191.0480460799,0.0375458850756129,30962229.195946,14.74,81.77807848,5.017,Humpback,mn170908-44
674,710,0.277777777777778,3308,3344,53.1166909694101,3.79666865217346,2.59264485320377,Routine,0.871615418065454,25830.665089202,0.0362492972918209,36604966.6055781,14.74,81.77807848,5.017,Humpback,mn170908-44
887,927,0.25,3521,3561,63.0853181243752,-9.54985793086238,2.18637777023885,Routine,0.858373696798256,18171.9176928761,0.0425224467262152,30868973.4993492,14.74,81.77807848,5.017,Humpback,mn170908-44
1053,1094,0.24390243902439,3687,3728,64.2819695032207,4.08684274783992,2.24536930029142,Routine,0.868577991572441,17394.3712998639,0.0375784176309469,31701861.5769114,14.74,81.77807848,5.017,Humpback,mn170908-44
1205,1246,0.24390243902439,3839,3880,63.3609469178586,4.49355446695518,2.25214595207901,Routine,0.868705300886305,17459.1350779157,0.0373788747452353,31797539.5916136,14.74,81.77807848,5.017,Humpback,mn170908-44
1246,1290,0.227272727272727,3880,3924,62.6258162768981,6.21924931603307,2.30149291150646,Routine,0.884864014066409,14895.9567993853,0.029883576498403,32494258.15671,14.74,81.77807848,5.017,Humpback,mn170908-44
1290,1336,0.217391304347826,3924,3970,61.5374304992992,7.37751848391501,2.18633730997828,Routine,0.884622450653312,12926.6778495709,0.0302502188699303,30868402.2500765,14.74,81.77807848,5.017,Humpback,mn170908-44
1336,1380,0.227272727272727,3970,4014,60.1085687502193,9.84623337803453,2.16755678213252,Routine,0.875025259839282,14357.5525942617,0.0344795873824026,30603244.2228288,14.74,81.77807848,5.017,Humpback,mn170908-44
1380,1423,0.232558139534884,4014,4057,58.5722413433438,11.2947667155429,2.17759878489348,Routine,0.8717480494438,15218.2003528396,0.0360431546038823,30745024.9897795,14.74,81.77807848,5.017,Humpback,mn170908-44
1423,1464,0.24390243902439,4057,4098,56.8495671555241,11.4175750818693,2.26863812885232,Routine,0.871473319131583,17411.9897335859,0.0364708441329963,32030388.9073594,14.74,81.77807848,5.017,Humpback,mn170908-44
1464,1503,0.256410256410256,4098,4137,55.1972650591216,11.646082792901,2.40670656949266,Routine,0.871846415054899,20457.7518894011,0.0358906704109015,33979746.0098867,14.74,81.77807848,5.017,Humpback,mn170908-44
1503,1547,0.227272727272727,4137,4181,53.364071438288,11.8010889016637,2.42128045665119,Routine,0.893984051979122,15229.6898467141,0.0262390956649982,34185511.4281979,14.74,81.77807848,5.017,Humpback,mn170908-44
1547,1592,0.222222222222222,4181,4226,51.3064947014659,11.0449498766163,2.42678266769643,Routine,0.899320644716779,14188.67691713,0.0242796454211531,34263195.9021507,14.74,81.77807848,5.017,Humpback,mn170908-44
1684,1727,0.232558139534884,4318,4361,45.9291386799426,11.6835608905993,2.11995440124437,Routine,0.865506207274463,15064.5395203877,0.0386695747322117,29931156.9677606,14.74,81.77807848,5.017,Humpback,mn170908-44
1727,1770,0.232558139534884,4361,4404,44.1177895625126,13.0208174133771,2.22728269577722,Routine,0.875190962473611,15462.294565168,0.034224806983557,31446500.8963183,14.74,81.77807848,5.017,Humpback,mn170908-44
1770,1815,0.222222222222222,4404,4449,41.9219798975608,13.2746829032897,2.23733481292688,Routine,0.884660440446345,13826.0369219278,0.0301924158978122,31588424.4660366,14.74,81.77807848,5.017,Humpback,mn170908-44
1815,1859,0.227272727272727,4449,4493,39.6988391329343,12.2229315907855,2.17524501934563,Routine,0.875165251828711,14420.2570964651,0.0342642751180214,30711792.7060868,14.74,81.77807848,5.017,Humpback,mn170908-44
1859,1904,0.222222222222222,4493,4538,37.7111669016815,12.2097706274649,2.14399997530489,Routine,0.87548012081971,13613.6168918698,0.0337825392881475,30270650.9923315,14.74,81.77807848,5.017,Humpback,mn170908-44
1904,1950,0.217391304347826,4538,4584,35.7145635236131,11.3743402112341,2.11944104740382,Routine,0.878488800437469,12757.4470561555,0.0327712377857439,29923909.0409313,14.74,81.77807848,5.017,Humpback,mn170908-44
1950,1991,0.24390243902439,4584,4625,33.9197046037204,11.0073147613646,2.1685218490037,Routine,0.861745515568038,17036.8777303559,0.0408593725958148,30616869.7838263,14.74,81.77807848,5.017,Humpback,mn170908-44
1991,2029,0.263157894736842,4625,4663,32.2950804651247,10.5567554347267,2.32076066639207,Routine,0.861375263726175,21184.7053090987,0.0414499924139054,32766295.2323937,14.74,81.77807848,5.017,Humpback,mn170908-44
2029,2066,0.27027027027027,4663,4700,30.7033713540053,11.2274090409491,2.48897274121584,Routine,0.868592621369872,23677.7476363138,0.037555457793065,35141243.4918787,14.74,81.77807848,5.017,Humpback,mn170908-44
2066,2102,0.277777777777778,4700,4736,28.9850851787933,11.5090290791281,2.64689129402285,Routine,0.874990181038839,26185.308286607,0.0345336488534443,37370859.8408973,14.74,81.77807848,5.017,Humpback,mn170908-44
2102,2137,0.285714285714286,4736,4771,27.1309574728508,11.4245347194371,2.70737619412666,Routine,0.874768614389432,28299.6432953257,0.0348761259782788,38224832.4726312,14.74,81.77807848,5.017,Humpback,mn170908-44
2137,2174,0.27027027027027,4771,4808,25.1979238153662,11.0456071683316,2.75474727050291,Routine,0.887555120728384,24924.7335162385,0.0291593832042779,38893653.9915833,14.74,81.77807848,5.017,Humpback,mn170908-44
2174,2212,0.263157894736842,4808,4846,23.2312351329706,11.2095988213528,2.74653581098215,Routine,0.890805084475116,23369.1460089977,0.0275854541246068,38777718.25084,14.74,81.77807848,5.017,Humpback,mn170908-44
2212,2249,0.27027027027027,4846,4883,21.1781380027817,11.9576677363935,2.69660417447762,Routine,0.881848674490226,24910.0967931208,0.0310682578874329,38072744.7622607,14.74,81.77807848,5.017,Humpback,mn170908-44
2249,2289,0.25,4883,4923,18.9658654362346,13.9353222932044,2.67987288605618,Routine,0.896451816211802,20087.3991458943,0.025525497713922,37836519.483207,14.74,81.77807848,5.017,Humpback,mn170908-44
2289,2329,0.25,4923,4963,16.1796558458071,15.7224762844565,2.67515787254126,Routine,0.894119230063058,20380.2459262546,0.026034801095966,37769949.2732357,14.74,81.77807848,5.017,Humpback,mn170908-44
2329,2373,0.227272727272727,4963,5007,12.888908719529,16.5822856997562,2.64612099540696,Routine,0.910401845971129,15268.8264280429,0.0201543898994644,37359984.1688683,14.74,81.77807848,5.017,Humpback,mn170908-44
2967,3002,0.285714285714286,5601,5636,2.50307509134717,1.18280806658447,2.96537433582616,Routine,0.89062429451851,29704.6346396074,0.0278598475163192,41867449.9138674,14.74,81.77807848,5.017,Humpback,mn170908-44
3002,3048,0.217391304347826,5636,5682,2.64949316513756,2.02561583946555,3.06403615555138,Routine,0.946767537626663,12170.2245992005,0.0103468947164907,43260433.8437043,14.74,81.77807848,5.017,Humpback,mn170908-44
3048,3114,0.151515151515152,5682,5748,2.02553875011621,4.78560953232627,2.8526591807322,Routine,0.951790175385302,5932.03495025094,0.00624952675549509,40276050.1187669,14.74,81.77807848,5.017,Humpback,mn170908-44
3408,3442,0.294117647058824,6042,6076,2.99296206154157,-1.06790622909431,3.49650463284052,Routine,0.913198834470374,33302.460407133,0.0190531633324512,49366358.5134763,14.74,81.77807848,5.017,Humpback,mn170908-44
3442,3488,0.217391304347826,6076,6122,3.53646893627382,0.646303288545632,3.45352226082641,Routine,0.949020404217923,14117.312533507,0.00838220627391066,48759500.1193308,14.74,81.77807848,5.017,Humpback,mn170908-44
3488,3514,0.384615384615385,6122,6148,3.49028702422462,-1.69899698964471,3.36238801514486,Routine,0.858356011957135,66139.0012873795,0.0425507519736642,47472796.3057809,14.74,81.77807848,5.017,Humpback,mn170908-44
3514,3548,0.294117647058824,6148,6182,3.83597651582086,0.931304887352021,3.37363771017745,Routine,0.907604531716725,33113.4607960735,0.0210912509410994,47631628.2069114,14.74,81.77807848,5.017,Humpback,mn170908-44
3548,3591,0.232558139534884,6182,6225,3.8670297526995,2.41796315819861,3.29403276017121,Routine,0.946865931469909,14989.9738783727,0.0102567608088888,46507703.9127622,14.74,81.77807848,5.017,Humpback,mn170908-44
3831,3863,0.3125,6465,6497,3.60031278420927,2.2298908169272,2.87345515934587,Routine,0.868527588414748,36531.9255493335,0.0376575780455144,40569663.8398067,14.74,81.77807848,5.017,Humpback,mn170908-44
3863,3889,0.384615384615385,6497,6523,3.10153862146958,3.00479808092059,3.45329539304679,Routine,0.864838784665708,66881.51241038,0.0397189712504707,48756297.0244346,14.74,81.77807848,5.017,Humpback,mn170908-44
3889,3918,0.344827586206897,6523,6552,2.81349364950313,-2.03489408223331,3.97171857494379,Routine,0.907718847484108,53634.9649956893,0.0209365776100907,56075796.738191,14.74,81.77807848,5.017,Humpback,mn170908-44
4230,4267,0.27027027027027,6864,6901,44.3983630877621,4.65407654113192,2.50750209683118,Routine,0.868905291186344,23895.3435058157,0.037066574899829,35402855.2751836,14.74,81.77807848,5.017,Humpback,mn170908-44
4267,4305,0.263157894736842,6901,6939,43.6991486792645,10.0438504249208,2.53483156024876,Routine,0.875416486198681,22562.7834074422,0.0338796137970717,35788713.7912516,14.74,81.77807848,5.017,Humpback,mn170908-44
4305,4342,0.27027027027027,6939,6976,42.1819126513129,13.3075592601608,2.60443071141589,Routine,0.875432916916775,24454.691189985,0.0338545350070139,36771368.4734389,14.74,81.77807848,5.017,Humpback,mn170908-44
4342,4378,0.277777777777778,6976,7012,39.9602734451806,15.1164631794349,2.76576428800883,Routine,0.881773231038518,26975.2549899487,0.0311826599380214,39049200.7713124,14.74,81.77807848,5.017,Humpback,mn170908-44
4378,4408,0.333333333333333,7012,7042,37.6169206591966,15.8155507185961,2.98438355501437,Routine,0.864713117950124,43385.2984536054,0.0399182752619118,42135836.7824826,14.74,81.77807848,5.017,Humpback,mn170908-44
4408,4437,0.344827586206897,7042,7071,35.3039097654994,13.4825549854653,3.19185924259227,Routine,0.868808306578616,49486.796221416,0.037217846357475,45065139.1147607,14.74,81.77807848,5.017,Humpback,mn170908-44
4437,4463,0.384615384615385,7071,7097,33.2928058240887,12.4983130646076,3.31152842767159,Routine,0.857637905405005,64903.019879955,0.0437091675865056,46754721.2872407,14.74,81.77807848,5.017,Humpback,mn170908-44
4463,4497,0.294117647058824,7097,7131,31.1749921377076,13.133102162155,3.40856760299555,Routine,0.907887872529598,33533.4403274801,0.0207088255595632,48124795.4675809,14.74,81.77807848,5.017,Humpback,mn170908-44
4497,4524,0.37037037037037,7131,7158,28.7740138535285,12.1239223581656,3.40352535203363,Routine,0.868502072234388,60772.7064615711,0.0376976867939212,48053605.0660687,14.74,81.77807848,5.017,Humpback,mn170908-44
4524,4555,0.32258064516129,7158,7189,26.9418365211867,13.9847129491983,3.22341262338664,Routine,0.88190371797053,42433.1238981725,0.0309849209301384,45510634.1654397,14.74,81.77807848,5.017,Humpback,mn170908-44
4555,4589,0.294117647058824,7189,7223,24.3316151142541,16.0116189974562,3.13591019907822,Routine,0.894008476662228,33039.567607327,0.0262021299423523,44275207.2168706,14.74,81.77807848,5.017,Humpback,mn170908-44
4589,4620,0.32258064516129,7223,7254,21.4585346250822,14.813409303902,3.09479216171695,Routine,0.875258986734652,41353.923310367,0.0341204968961777,43694670.942249,14.74,81.77807848,5.017,Humpback,mn170908-44
5068,5111,0.232558139534884,7702,7745,11.3030505492852,-51.5646964119119,1.73986341576741,Routine,0.831427086281959,12906.7966525933,0.0599330104286694,24564738.2647621,14.74,81.77807848,5.017,Humpback,mn170908-44
5111,5164,0.188679245283019,7745,7798,19.0312918687388,-43.4415945158338,1.7108973986903,Routine,0.865274640271723,7992.79870367387,0.0390319340588471,24155773.617524,14.74,81.77807848,5.017,Humpback,mn170908-44
5164,5229,0.153846153846154,7798,7863,25.4722686976259,-6.6970905570599,1.8432773384963,Routine,0.91567002529275,4717.42257170433,0.0184215353160903,26024816.0626776,14.74,81.77807848,5.017,Humpback,mn170908-44
5229,5272,0.232558139534884,7863,7906,25.1817810034597,12.461612692648,2.12011784826303,Routine,0.865509577945035,15065.9742292894,0.0386643138602545,29933464.6392692,14.74,81.77807848,5.017,Humpback,mn170908-44
5442,5481,0.256410256410256,8076,8115,9.91366326204867,23.3182065105801,2.1350455972609,Routine,0.850749081929871,18839.4060707669,0.0473411537040609,30144226.1528982,14.74,81.77807848,5.017,Humpback,mn170908-44
5481,5521,0.25,8115,8155,6.03551157764728,23.7541894696725,2.27435662396374,Routine,0.865417901467503,18668.0393326002,0.0388075395817585,32111127.0471509,14.74,81.77807848,5.017,Humpback,mn170908-44
5627,5659,0.3125,8261,8293,8.88091453902555,-48.4833269021999,2.53864601082777,Routine,0.846842888807482,33411.2362328406,0.0499435257343506,35842569.1567062,14.74,81.77807848,5.017,Humpback,mn170908-44
5659,5699,0.25,8293,8333,17.102605116685,-50.2286364545661,2.38248466731771,Routine,0.874994880400859,19091.8756190835,0.0345264039239113,33637762.4485278,14.74,81.77807848,5.017,Humpback,mn170908-44
6069,6123,0.185185185185185,8703,8757,71.5844611681584,-12.4808554129477,1.79114396663398,Routine,0.878185977255623,7809.23101052314,0.0332360864950246,25288756.770292,14.74,81.77807848,5.017,Humpback,mn170908-44
6123,6179,0.178571428571429,8757,8813,74.6135251453248,-11.5323736604414,1.87992447054762,Routine,0.891083796662604,7379.65379218508,0.0271648854885987,26542228.6358926,14.74,81.77807848,5.017,Humpback,mn170908-44
6296,6338,0.238095238095238,8930,8972,83.649931690704,-8.80179553165492,1.74207290060894,Routine,0.827385298728054,13592.0775781805,0.0628752845475507,24595933.4817776,14.74,81.77807848,5.017,Humpback,mn170908-44
6623,6676,0.188679245283019,9257,9310,87.2072922167864,14.346378387879,1.59887202184147,Routine,0.854140779459672,7591.58700485002,0.0454239145860911,22574112.6455395,14.74,81.77807848,5.017,Humpback,mn170908-44
6676,6730,0.185185185185185,9310,9364,84.5660110110886,20.1302567102212,1.72192568798802,Routine,0.871459915944659,7618.07324498376,0.0364917778941799,24311479.5411336,14.74,81.77807848,5.017,Humpback,mn170908-44
6730,6790,0.166666666666667,9364,9424,81.163052865886,18.112324584199,1.71993154491599,Routine,0.887972799446258,5934.39082607671,0.028525663371085,24283324.6858829,14.74,81.77807848,5.017,Humpback,mn170908-44
6790,6844,0.185185185185185,9424,9478,78.439837362547,11.6093264114748,1.64301787329049,Routine,0.861650231208326,7437.60717391367,0.0410109157659951,23197397.9428178,14.74,81.77807848,5.017,Humpback,mn170908-44
6844,6906,0.161290322580645,9478,9540,76.9806867604947,10.5643820735815,1.67680344217224,Routine,0.890678629700951,5354.79208524089,0.0277772492697875,23674408.7525085,14.74,81.77807848,5.017,Humpback,mn170908-44
6999,7054,0.181818181818182,9633,9688,74.4467613616185,12.9022657126033,1.48854210368519,Routine,0.847244213904629,6644.20597455472,0.0492666249346226,21016389.4715706,14.74,81.77807848,5.017,Humpback,mn170908-44
7054,7103,0.204081632653061,9688,9737,72.2449212207441,19.8633047706932,1.67557216025999,Routine,0.847390707283221,9429.26562157671,0.0490209311089749,23657024.5615252,14.74,81.77807848,5.017,Humpback,mn170908-44
7103,7152,0.204081632653061,9737,9786,69.1129601136011,22.5780922487408,1.8146398455411,Routine,0.861749574160646,9981.62816618064,0.0408529246482046,25620489.7732528,14.74,81.77807848,5.017,Humpback,mn170908-44
7152,7203,0.196078431372549,9786,9837,65.2790479154379,23.413379488631,1.92182513416822,Routine,0.878689600298718,9422.40006256876,0.0324648220694937,27133814.6337544,14.74,81.77807848,5.017,Humpback,mn170908-44
7203,7249,0.217391304347826,9837,9883,61.1393604059375,22.3410145960834,1.9189547628572,Routine,0.86141820131487,11956.5197188999,0.0413812559505574,27093288.510072,14.74,81.77807848,5.017,Humpback,mn170908-44
7249,7294,0.222222222222222,9883,9928,57.5097523706278,23.1293046704995,1.87410930481752,Routine,0.853905824527258,12329.4170390952,0.0458090078575364,26460125.6254887,14.74,81.77807848,5.017,Humpback,mn170908-44
7294,7342,0.208333333333333,9928,9976,53.6633993829314,26.3396390098396,1.8937728499955,Routine,0.865382652234639,10792.5328510814,0.0388626861288391,26737750.7748407,14.74,81.77807848,5.017,Humpback,mn170908-44
7342,7389,0.212765957446809,9976,10023,49.432378297336,26.5985927694657,1.93247119394066,Routine,0.865346490324219,11484.4729208402,0.0389193049050561,27284123.9451009,14.74,81.77807848,5.017,Humpback,mn170908-44
7389,7435,0.217391304347826,10023,10069,45.2873327420716,26.3241702940809,1.93004952863873,Routine,0.861680585214491,12042.0338569668,0.0409626057814441,27249933.0001292,14.74,81.77807848,5.017,Humpback,mn170908-44
7435,7484,0.204081632653061,10069,10118,40.8858189409232,26.718306112535,2.07520379530427,Routine,0.88500835638855,10840.2962253218,0.0296655213279318,29299333.2785297,14.74,81.77807848,5.017,Humpback,mn170908-44
7709,7761,0.192307692307692,10343,10395,18.5279075880647,23.6398033118217,1.6051689166059,Routine,0.850870471920087,7971.80433933453,0.0471397745318357,22663017.0792825,14.74,81.77807848,5.017,Humpback,mn170908-44
7761,7827,0.151515151515152,10395,10461,14.2481772863958,25.093349729516,1.66215069853186,Routine,0.89945450372039,4522.28648711288,0.0240846298392973,23467529.977356,14.74,81.77807848,5.017,Humpback,mn170908-44
9486,9540,0.185185185185185,12120,12174,3.15441006320348,-1.25973129077477,1.76619502210797,Routine,0.875026103872361,7767.27278302508,0.0344782871450625,24936508.2623289,14.74,81.77807848,5.017,Humpback,mn170908-44
9540,9593,0.188679245283019,12174,12227,3.64485482153691,1.53845493588656,1.75807569597254,Routine,0.871545953530238,8078.18426592126,0.0363575105332858,24821873.332026,14.74,81.77807848,5.017,Humpback,mn170908-44
9593,9647,0.185185185185185,12227,12281,3.68745274435676,3.27256207507989,1.79424824712455,Routine,0.878252080751354,7825.87164548431,0.0331343322372793,25332585.4048045,14.74,81.77807848,5.017,Humpback,mn170908-44
9647,9699,0.192307692307692,12281,12333,3.32775369849671,3.95663468924948,1.80980015851895,Routine,0.87195444143437,8658.72667172814,0.0357236033537486,25552159.3262159,14.74,81.77807848,5.017,Humpback,mn170908-44
9699,9756,0.175438596491228,12333,12390,2.65805502275461,5.6483929657336,1.78592768693967,Routine,0.885047019799471,6895.98793836315,0.0296072435812981,25215109.2964471,14.74,81.77807848,5.017,Humpback,mn170908-44
9934,9988,0.185185185185185,12568,12622,2.86412085090741,-2.79716696328702,1.77312208181023,Routine,0.875180841321415,7804.78426658436,0.0342403410533,25034309.8523782,14.74,81.77807848,5.017,Humpback,mn170908-44
9988,10040,0.192307692307692,12622,12674,3.64996230083376,-2.13136741845557,1.75326067911157,Routine,0.865511730022009,8519.59527773759,0.0386609551476589,24753891.1974181,14.74,81.77807848,5.017,Humpback,mn170908-44
10040,10090,0.2,12674,12724,4.22654003815803,0.0400157590689655,1.72936720240762,Routine,0.857840054751074,9174.2571623855,0.043381278653198,24416544.6010424,14.74,81.77807848,5.017,Humpback,mn170908-44
10090,10141,0.196078431372549,12724,12775,4.56350016773664,0.0374428805896209,1.7456008715086,Routine,0.861804747724462,8866.1010317309,0.0407653259817531,24645744.1053992,14.74,81.77807848,5.017,Humpback,mn170908-44
10141,10195,0.185185185185185,12775,12829,4.84605494875288,0.698093129841873,1.7376656133674,Routine,0.871834356583731,7703.94207171317,0.0359093448348949,24533707.9894975,14.74,81.77807848,5.017,Humpback,mn170908-44
10195,10251,0.178571428571429,12829,12885,5.09679396824926,2.02695838302373,1.70728154755175,Routine,0.875122720501965,6985.40019131064,0.0343296160502402,24104722.2326751,14.74,81.77807848,5.017,Humpback,mn170908-44
10251,10303,0.192307692307692,12885,12937,5.03480073103352,3.57968551244908,1.68666621778936,Routine,0.861124372844256,8211.45238801939,0.0418529074720247,23813659.0519302,14.74,81.77807848,5.017,Humpback,mn170908-44
10303,10367,0.15625,12937,13001,4.60059290975404,4.50217166071494,1.66565635176911,Routine,0.89400301231676,4952.63973104117,0.0262103979790632,23517025.502947,14.74,81.77807848,5.017,Humpback,mn170908-44
10367,10418,0.196078431372549,13001,13052,4.1404147878305,4.31571819457886,1.6743604727635,Routine,0.85451471772136,8601.54150258623,0.0448149064609497,23639917.0196685,14.74,81.77807848,5.017,Humpback,mn170908-44
10418,10476,0.172413793103448,13052,13110,3.55504024293212,5.05982330518575,1.70107163558905,Routine,0.88143939992771,6378.45770953389,0.0316913664450926,24017045.8894469,14.74,81.77807848,5.017,Humpback,mn170908-44
10476,10536,0.166666666666667,13110,13170,2.69261582298599,8.19872581430326,1.71163818899145,Routine,0.887810398262287,5899.32129297141,0.028771283780476,24166232.6683276,14.74,81.77807848,5.017,Humpback,mn170908-44
10985,11040,0.181818181818182,13619,13674,2.73701467477527,-1.71262507225383,1.55948168514191,Routine,0.854729783997762,6895.78282079371,0.0444667954788564,22017969.3860074,14.74,81.77807848,5.017,Humpback,mn170908-44
11040,11093,0.188679245283019,13674,13727,3.16560540975139,-0.380782823246255,1.60833483281002,Routine,0.854428793277633,7647.31104585574,0.0449544248094323,22707715.9345016,14.74,81.77807848,5.017,Humpback,mn170908-44
11093,11150,0.175438596491228,13727,13784,3.36718551851535,3.2387845628505,1.61912728713493,Routine,0.868683481492463,6493.409654422,0.0374130332750151,22860092.1574414,14.74,81.77807848,5.017,Humpback,mn170908-44
11150,11205,0.181818181818182,13784,13839,3.00677206922375,3.97538853000308,1.64899311750443,Routine,0.865282900527428,7153.84143140472,0.0390189765957663,23281761.0651488,14.74,81.77807848,5.017,Humpback,mn170908-44
11205,11261,0.178571428571429,13839,13895,2.55969797543269,5.39584178631786,1.6553633812598,Routine,0.868870283162175,6885.06815338747,0.0371211400764436,23371701.3790896,14.74,81.77807848,5.017,Humpback,mn170908-44
11261,11310,0.204081632653061,13895,13944,1.86132700905598,8.96493591117687,1.6140701235595,Routine,0.842628356091976,9088.84598386095,0.0528609107683882,22788691.2081102,14.74,81.77807848,5.017,Humpback,mn170908-44
11483,11540,0.175438596491228,14117,14174,2.98096718482179,-1.71218891295759,1.61245479624254,Routine,0.868508865822228,6460.42642804263,0.0376870057272209,22765884.7668727,14.74,81.77807848,5.017,Humpback,mn170908-44
11540,11607,0.149253731343284,14174,14241,3.45071603981165,2.54291772804996,1.60233734042846,Routine,0.896497722471477,4282.32741971238,0.0254572274633724,22623038.6953214,14.74,81.77807848,5.017,Humpback,mn170908-44
